book_source,chapter_name,question_number_in_book,question_text,options,correct_option,solution_text,exam_metadata,admin_tags
Pinnacle 6800 6th Ed,"Time, Speed and Distance",1,A train 150m long crosses a platform 250m long in 20 seconds. Find the speed of the train.,"{""a"":""54 km/h"",""b"":""60 km/h"",""c"":""72 km/h"",""d"":""80 km/h""}",c,Total distance = 150 + 250 = 400m. Time = 20s. Speed = $\dfrac{400}{20} = 20$ m/s = $20 \times \dfrac{18}{5} = 72$ km/h,CAT 2023 Slot 2,"Time Speed Distance, Train and Platform"
Pinnacle 6800 6th Ed,"Time, Speed and Distance",2,Two trains of lengths 200m and 300m are running in the same direction at speeds of 60 km/h and 40 km/h respectively. In how much time will the faster train overtake the slower train?,"{""a"":""90 seconds"",""b"":""100 seconds"",""c"":""120 seconds"",""d"":""150 seconds""}",a,Relative speed = 60 - 40 = 20 km/h = $20 \times \dfrac{5}{18} = \dfrac{50}{9}$ m/s. Distance to cover = 200 + 300 = 500m. Time = $\dfrac{500}{\dfrac{50}{9}} = 90$ seconds,CAT 2022 Slot 3,"Time Speed Distance, Relative Speed, Overtaking"
Pinnacle 6800 6th Ed,Ratio and Proportion,1,"The ratio of ages of A and B is 3:5. If the sum of their ages is 48 years, find the age of A.","{""a"":""15 years"",""b"":""18 years"",""c"":""20 years"",""d"":""24 years""}",b,"Let ages be 3x and 5x. 3x + 5x = 48, so 8x = 48, x = 6. Age of A = 3x = 3 × 6 = 18 years",CAT 2021 Slot 3,"Ratio and Proportion, Age Problems"
Pinnacle 6800 6th Ed,Ratio and Proportion,2,"If 2A = 3B = 4C, then A:B:C is equal to:","{""a"":""6:4:3"",""b"":""4:3:2"",""c"":""3:2:1"",""d"":""2:3:4""}",a,"Let 2A = 3B = 4C = 12k. Then A = 6k, B = 4k, C = 3k. Therefore, A:B:C = 6k:4k:3k = 6:4:3",CAT 2020 Slot 1,"Ratio and Proportion, Equal Ratios"
Pinnacle 6800 6th Ed,Average,1,"The average of 5 numbers is 20. If one number is excluded, the average becomes 18. Find the excluded number.","{""a"":""22"",""b"":""24"",""c"":""26"",""d"":""28""}",d,Sum of 5 numbers = 5 × 20 = 100. Sum of 4 numbers = 4 × 18 = 72. Excluded number = 100 - 72 = 28,CAT 2023 Slot 1,"Average, Exclusion of Numbers"
Pinnacle 6800 6th Ed,Average,2,"The average weight of 8 students is 45 kg. If the weight of the teacher is also included, the average becomes 47 kg. Find the weight of the teacher.","{""a"":""61 kg"",""b"":""63 kg"",""c"":""65 kg"",""d"":""67 kg""}",b,Total weight of 8 students = 8 × 45 = 360 kg. Total weight including teacher = 9 × 47 = 423 kg. Teacher's weight = 423 - 360 = 63 kg,CAT 2022 Slot 2,"Average, Inclusion of Numbers"
Pinnacle 6800 6th Ed,Number System,1,Find the remainder when 2^100 is divided by 7.,"{""a"":""1"",""b"":""2"",""c"":""3"",""d"":""4""}",b,Using Fermat's Little Theorem: $2^6 \equiv 1 \pmod{7}$. $2^{100} = 2^{96} \times 2^4 = (2^6)^{16} \times 2^4 \equiv 1^{16} \times 16 \equiv 2 \pmod{7}$,CAT 2021 Slot 1,"Number System, Remainders, Fermat's Little Theorem"
Pinnacle 6800 6th Ed,Number System,2,What is the sum of all two-digit numbers that leave remainder 3 when divided by 7?,"{""a"":""676"",""b"":""702"",""c"":""728"",""d"":""754""}",b,"Two-digit numbers leaving remainder 3 when divided by 7: 10, 17, 24, 31, 38, 45, 52, 59, 66, 73, 80, 87, 94. Sum = $\dfrac{13}{2}(10 + 94) = \dfrac{13 \times 104}{2} = 676$. Wait, let me recalculate: 10+17+24+31+38+45+52+59+66+73+80+87+94 = 702",CAT 2020 Slot 2,"Number System, Arithmetic Progression, Remainders"
Pinnacle 6800 6th Ed,Geometry,1,"In a right-angled triangle, the hypotenuse is 13 cm and one side is 5 cm. Find the area of the triangle.","{""a"":""24 cm²"",""b"":""30 cm²"",""c"":""36 cm²"",""d"":""42 cm²""}",b,"Using Pythagoras theorem: $13^2 = 5^2 + b^2$, so $169 = 25 + b^2$, $b^2 = 144$, $b = 12$ cm. Area = $\dfrac{1}{2} \times 5 \times 12 = 30$ cm²",CAT 2023 Slot 3,"Geometry, Right Triangle, Pythagoras Theorem"
Pinnacle 6800 6th Ed,Geometry,2,The radius of a circle is 7 cm. Find the area of the sector subtending an angle of 60° at the center.,"{""a"":""$\\dfrac{77}{3}$ cm²"",""b"":""$\\dfrac{154}{3}$ cm²"",""c"":""$\\dfrac{231}{3}$ cm²"",""d"":""$\\dfrac{308}{3}$ cm²""}",a,Area of sector = $\dfrac{\theta}{360°} \times \pi r^2 = \dfrac{60°}{360°} \times \pi \times 7^2 = \dfrac{1}{6} \times \pi \times 49 = \dfrac{49\pi}{6} = \dfrac{49 \times 22}{6 \times 7} = \dfrac{77}{3}$ cm²,CAT 2022 Slot 1,"Geometry, Circle, Sector Area"
